order_id,client_id,product_id,product_category,order_price,order_timestamp,order_status,payment_method,shipping_method,shipping_cost
1,6c5c87f2-49e9-4380-872d-71d9e3df63d6,P00333,Snacks,29.51,2023-01-01 23:51:55,delivered,bank_transfer,standard,3.51
2,0c8380cb-a64e-4090-8b23-d1ddf32630e0,P00929,Personal Care,23.4,2023-01-01 11:48:50,delivered,credit_card,standard,3.76
3,bf486527-8182-490e-9e10-c79232c6b0c9,P00768,Personal Care,94.41,2023-01-01 11:06:14,delivered,debit_card,express,10.42
5,6c5c87f2-49e9-4380-872d-71d9e3df63d6,P00610,Household,29.16,2023-01-01 20:55:35,delivered,credit_card,standard,6.05
6,7ac7a850-4f19-4c85-921b-b0e5ba921ee9,P00299,Snacks,76.22,2023-01-01 02:49:09,delivered,debit_card,express,14.08
7,1754b68a-8365-43e8-90f5-d69974ebec39,P00311,Snacks,79.12,2023-01-01 21:27:09,delivered,paypal,standard,4.27
8,cf5ff573-b326-43f3-a14e-48c60e2ae9e0,P00680,Household,3.72,2023-01-01 09:56:34,delivered,credit_card,standard,5.1
9,4a9e9f62-0097-4a8e-8efe-75f1eebc1583,P00529,Household,30.35,2023-01-01 04:36:56,delivered,credit_card,standard,5.17
10,e9b8d799-45a2-4388-a99a-15d201dcd38e,P01050,Technology,111.17,2023-01-01 11:37:46,delivered,debit_card,express,7.31
11,2d148ffe-ba19-45d9-bc25-69d9b2eba77c,P00902,Personal Care,79.37,2023-01-01 18:47:40,delivered,cash,express,10.57
12,1a0990c9-9284-4f14-8b6a-178447d2f60e,P01057,Technology,37.78,2023-01-01 19:08:02,delivered,paypal,standard,4.79
13,57b3f0a3-2f40-4e66-abbd-14218ad56b44,P01192,Technology,74.31,2023-01-01 20:59:38,delivered,credit_card,standard,5.76
14,24a92ef4-1755-46e3-bac1-9392428645cc,P01107,Technology,39.63,2023-01-01 05:30:12,delivered,credit_card,standard,5.34
15,bb9cde19-a153-44c8-b0de-95587c623caf,P00159,Beverages,84.5,2023-01-01 14:51:32,delivered,bank_transfer,pickup,0.0
16,cf5ff573-b326-43f3-a14e-48c60e2ae9e0,P00488,Snacks,47.28,2023-01-01 10:57:13,delivered,debit_card,standard,5.67
17,e95e5bb3-cde3-40f1-b3fc-2525bda3dda7,P00456,Snacks,62.92,2023-01-01 06:17:50,delivered,credit_card,standard,4.04
18,1fe3315e-57d9-41fc-b2ee-4762525eeac6,P01096,Technology,46.17,2023-01-01 04:14:11,delivered,debit_card,express,9.86
19,efbc66db-49df-46df-ae21-19247fc57715,P00524,Household,90.03,2023-01-01 03:31:26,delivered,paypal,standard,7.59
20,b6691fdf-a6f0-4c32-9a11-5c87ab9e7b05,P01000,Personal Care,37.33,2023-01-01 13:40:06,delivered,debit_card,express,8.17
21,1607c8cd-034b-494f-9c0a-467e4ef69d75,P01192,Technology,78.92,2023-01-01 23:34:05,delivered,bank_transfer,standard,7.2
22,3510edc6-2688-41e4-9ffd-33178aa5c378,P01047,Technology,44.07,2023-01-01 16:08:37,delivered,cash,standard,4.26
23,db071d4d-3ae0-442b-b500-40ff9318c293,P00694,Household,73.48,2023-01-01 11:29:31,delivered,debit_card,express,10.28
24,79ed4f9a-8b50-498e-8499-25512cd0a1af,P01096,Technology,42.3,2023-01-01 14:29:07,delivered,credit_card,standard,6.1
25,2602c3d6-e0c8-40c8-9a7a-1e76ea4b0647,P00936,Personal Care,23.37,2023-01-01 10:28:33,delivered,credit_card,standard,4.4
26,5de1d7b6-738c-46d7-a9e7-a847cc207621,P00244,Beverages,15.71,2023-01-01 08:27:31,delivered,cash,standard,2.78
27,4f5faebb-ae80-405f-8334-ce396df23578,P00449,Snacks,30.39,2023-01-01 19:07:46,delivered,cash,standard,5.69
28,70fe8932-972c-4a9f-b6fe-1c5f3dc04f6f,P00883,Personal Care,58.22,2023-01-01 12:44:29,delivered,credit_card,pickup,0.0
29,5a310228-bdbe-40d5-ac72-a89aca9ab00d,P01074,Technology,9.9,2023-01-01 07:34:18,delivered,debit_card,express,10.25
30,f6300ab6-6de9-49da-9606-c835450dacd7,P00575,Household,87.81,2023-01-01 11:00:51,delivered,credit_card,standard,4.65
31,ad649c09-c5bc-4ac5-8c2f-1a44efb8f346,P00165,Beverages,90.21,2023-01-01 03:09:55,delivered,debit_card,express,7.51
32,b6c6d745-768d-4a44-8227-d692edb4cdfb,P00061,Beverages,83.1,2023-01-01 23:49:28,delivered,credit_card,standard,4.07
33,ccb5fa97-449b-47a4-aa29-4185cfa0e56f,P00420,Snacks,80.74,2023-01-01 10:26:31,delivered,cash,standard,6.11
34,dd5154d6-bc56-4d39-a4fa-ed3b6f84bb66,P00696,Household,40.86,2023-01-01 05:57:58,delivered,debit_card,standard,4.55
35,89b23f9d-3d22-4f2e-a716-cf816885f486,P01066,Technology,50.0,2023-01-01 22:19:59,delivered,cash,standard,5.17
36,b556304e-5c7d-4af4-8f73-a9642c162aaf,P00530,Household,3.19,2023-01-01 01:50:30,delivered,credit_card,express,11.59
37,2851c70a-26d7-4e55-bf90-e6d56264ae8a,P00308,Snacks,48.82,2023-01-01 05:34:16,delivered,cash,pickup,0.0
38,e5f77f44-93c2-4fa8-872b-a1ebae32046d,P00149,Beverages,79.84,2023-01-01 01:13:25,delivered,debit_card,standard,6.33
39,fe28dddd-7e40-4476-afd7-4f74c73d140b,P01203,Technology,89.27,2023-01-01 16:29:11,delivered,credit_card,standard,4.31
40,a8127c65-009b-4d7b-9377-e2c5d659d0ad,P00161,Beverages,60.08,2023-01-01 06:32:33,delivered,debit_card,standard,5.41
41,800b6d36-8bad-4d7b-9de1-45b4f54ab7d5,P00383,Snacks,55.37,2023-01-01 17:53:42,delivered,credit_card,standard,5.59
42,c1785c58-64b0-4013-91b9-654f5f690422,P00202,Beverages,24.57,2023-01-01 13:16:31,delivered,cash,standard,6.73
43,2ab6d207-4dc5-46d5-80f6-264c49a2209c,P00612,Household,103.77,2023-01-01 01:59:39,delivered,bank_transfer,standard,4.39
44,6ad7ec68-56ce-4c83-b10a-a7abd396d313,P00428,Snacks,76.48,2023-01-01 09:16:26,delivered,credit_card,standard,3.59
45,3bb3e24e-571e-40c3-b13a-b8fbb5eafd0f,P00971,Personal Care,92.57,2023-01-01 05:36:27,delivered,paypal,standard,3.66
46,6fb1310c-81f6-4f69-ac4b-2fa5c21b47cf,P00780,Personal Care,82.52,2023-01-01 14:10:42,delivered,paypal,standard,5.97
47,92f8c1a9-860a-486c-bceb-db7c54f79897,P00091,Beverages,11.12,2023-01-01 20:28:21,delivered,bank_transfer,standard,8.11
48,035033e0-b888-4b55-87d8-47cc0c995044,P01236,Technology,2.06,2023-01-01 17:30:10,delivered,credit_card,standard,1.67
49,583ead8d-1a73-4375-a41f-4ce9b4461e10,P00775,Personal Care,55.61,2023-01-01 09:45:58,delivered,cash,express,8.44
50,9153c9b3-a9c4-4c69-b541-822cc6ae837d,P00835,Personal Care,65.49,2023-01-01 23:01:07,delivered,paypal,express,10.6
51,9930c9ae-a67d-4589-906d-2d5f2c96b9f1,P00732,Household,3.53,2023-01-01 16:55:30,delivered,cash,express,10.39
52,91c6a7fd-b3ed-4786-b06d-10078fcdf9c5,P00997,Personal Care,99.28,2023-01-01 08:53:51,delivered,cash,express,7.61
53,9d74dc51-210b-44f1-a604-1e38f9fab3c7,P00821,Personal Care,38.61,2023-01-01 22:33:17,delivered,credit_card,standard,5.28
54,8b249102-0826-44ed-a2e7-620d738903d6,P00935,Personal Care,48.34,2023-01-01 09:15:01,delivered,cash,pickup,0.0
55,60491271-8003-40a7-be30-79c229c70d48,P01036,Technology,98.7,2023-01-01 16:18:17,delivered,debit_card,standard,4.96
56,53d4ba12-4502-4ec1-af23-2fc8aeb26b24,P00391,Snacks,51.38,2023-01-01 19:41:33,delivered,credit_card,pickup,0.0
57,b2a621a3-c607-42ab-9937-de614c573164,P00901,Personal Care,31.23,2023-01-02 08:53:30,delivered,credit_card,standard,5.57
58,cafeaf80-62aa-4584-8801-c6abc10dce58,P00121,Beverages,8.28,2023-01-02 09:42:14,delivered,paypal,standard,6.09
59,edbfc77d-036d-4372-8be6-14acaf18ac55,P00127,Beverages,74.02,2023-01-02 19:49:40,delivered,paypal,standard,5.97
60,1c781484-3f26-41ac-86b1-32858d2e82b6,P00931,Personal Care,73.5,2023-01-02 13:02:24,delivered,debit_card,express,9.47
61,cf32b7af-2082-4c30-baef-0d0690a9b328,P00894,Personal Care,30.44,2023-01-02 17:06:08,failed,debit_card,standard,4.22
62,a1c04011-f6ca-485c-9bf8-191a5ad455c1,P00377,Snacks,23.21,2023-01-02 01:25:16,delivered,bank_transfer,standard,6.32
63,c912bf1f-274c-4d36-aa15-a815dd987ad8,P01225,Technology,97.38,2023-01-02 18:34:49,delivered,credit_card,express,5.87
64,dd7360ea-0571-4850-bb9a-49f191726b60,P00462,Snacks,58.39,2023-01-02 18:54:56,delivered,debit_card,standard,4.82
66,ca71fb13-d926-4605-8356-d88a040f0226,P00822,Personal Care,48.02,2023-01-02 22:26:41,delivered,credit_card,standard,4.16
67,90dd012b-c243-4895-8689-964e5467215b,P00887,Personal Care,44.04,2023-01-02 17:37:20,delivered,debit_card,standard,5.17
68,63236e7b-da8e-41fe-97d7-ea2a0b4d24a9,P01191,Technology,89.2,2023-01-02 09:36:52,delivered,debit_card,pickup,0.0
69,9161c82f-11f8-44bc-8f67-93009196e66a,P00903,Personal Care,85.06,2023-01-02 23:36:29,delivered,cash,express,10.96
71,583ead8d-1a73-4375-a41f-4ce9b4461e10,P01140,Technology,9.87,2023-01-02 09:28:11,delivered,cash,express,12.67
